Title,Distibutor,Max Theaters,Opening Weekend,Opening Theaters,Year,Weekend #,Multiplier,Box Office Mojo URL,RT Rating,Mojo Genre,Mojo MPAA,Mojo Budget,Director,Producer,Composer,Gross
The Amazing Spider-Man,Sony,4318,62004688,4318,2012,27,4.23,http://www.boxofficemojo.com/movies/?id=spiderman4.htm,72,Action,PG-13,230,Marc Webb,Avi Arad,James Horner,262030663
Captain America: The Winter Soldier,BV,3938,95023721,3938,2014,14,2.73,http://www.boxofficemojo.com/movies/?id=marvel14b.htm,89,Action,PG-13,170,Anthony Russo,Victoria Alonso,Henry Jackman,259766572
The Hobbit: The Desolation of Smaug,WB (NL),3928,73645197,3903,2013,50,3.51,http://www.boxofficemojo.com/movies/?id=hobbit2.htm,74,Fantasy,PG-13,?,Peter Jackson,Peter Jackson,Howard Shore,258366855
The LEGO Movie,WB,3890,69050279,3775,2014,6,3.73,http://www.boxofficemojo.com/movies/?id=lego.htm,96,Animation,PG,60,Phil Lord,Doug Davison,Mark Mothersbaugh,257760692
Star Trek,Par.,4053,75204289,3849,2009,19,3.43,http://www.boxofficemojo.com/movies/?id=startrek11.htm,95,Sci-Fi Adventure,PG-13,150,J.J. Abrams,J.J. Abrams,Michael Giacchino,257730019
I Am Legend,WB,3648,77211321,3606,2007,50,3.32,http://www.boxofficemojo.com/movies/?id=iamlegend.htm,70,Sci-Fi Horror,PG-13,150,Francis Lawrence,Dana Goldberg,James Newton Howard,256393010
The Blind Side,WB,3407,34119372,3110,2009,47,7.5,http://www.boxofficemojo.com/movies/?id=blindside.htm,66,Sports Drama,PG-13,29,John Lee Hancock,Broderick Johnson,Carter Burwell,255959475
The Hobbit: The Battle of the Five Armies,WB (NL),3875,54724334,3875,2014,51,4.66,http://www.boxofficemojo.com/movies/?id=hobbit3.htm,59,Fantasy,PG-13,?,Peter Jackson,Peter Jackson,Howard Shore,255119788
The Hangover Part II,WB,3675,85946294,3615,2011,21,2.96,http://www.boxofficemojo.com/movies/?id=hangover2.htm,33,Comedy,R,80,Todd Phillips,Scott Budnick,Christophe Beck,254464305
Despicable Me,Uni.,3602,56397125,3476,2010,28,4.46,http://www.boxofficemojo.com/movies/?id=despicableme.htm,81,Animation,PG,69,Pierre Coffin,Janet Healy,Heitor Pereira,251513985
Moana,BV,3875,56631401,3875,2016,48,4.37,http://www.boxofficemojo.com/movies/?id=disney1116.htm,95,Animation,PG,?,Ron Clements,?,?,247495232
Transformers: Age of Extinction,Par.,4233,100038390,4233,2014,26,2.45,http://www.boxofficemojo.com/movies/?id=transformers4.htm,18,Sci-Fi Action,PG-13,210,Michael Bay,Michael Bay,Steve Jablonsky,245439076
Maleficent,BV,3948,69431298,3948,2014,22,3.48,http://www.boxofficemojo.com/movies/?id=maleficient.htm,50,Fantasy,PG,180,Robert Stromberg,Don Hahn,James Newton Howard,241410378
Pirates of the Caribbean: On Stranger Tides,BV,4164,90151958,4155,2011,20,2.67,http://www.boxofficemojo.com/movies/?id=piratesofthecaribbean4.htm,32,Period Adventure,PG-13,250,Rob Marshall,Jerry Bruckheimer,Hans Zimmer,241071802
Shrek Forever After,P/DW,4386,70838207,4359,2010,21,3.37,http://www.boxofficemojo.com/movies/?id=shrek4.htm,58,Animation,PG,165,Mike Mitchell,?,Harry Gregson,238736787
